0002087241,AMERICAN HIGHER EDUCATION INFORMATION CENTER,HUN,SIS,AMERICAN HIGHER EDUCATION INFORMATION CENTER ,AMERICAN HIGHER EDUCATION INFORMATION CENTER,
0002088152,EDUCATIONAL ADVISING CENTER,LTU,SIS,EDUCATIONAL ADVISING CENTER ,EDUCATIONAL ADVISING CENTER,
0002110404,FULBRIGHT- COMISION PARA INTERCAMBIO EDUCATIVO ENT,PER,SIS,FULBRIGHT COMISION PARA INTERCAMBIO EDUCATIVO ENT ,FULBRIGHT- COMISION PARA INTERCAMBIO EDUCATIVO ENT,
0000016266,UNIVERSITY OF ART AND SOCIAL SCIENCE ARCIS SANTIAG,CHL,SIS,ART SOCIAL SCIENCE ARCIS SANTIAG UNIVERSITY,UNIVERSITY OF ART AND SOCIAL SCIENCE ARCIS SANTIAG,UNIVERSITY 
0000021652,ADV TCHR COLL UYO,NGA,SIS,ADV TCHR UYO UNIVERSITY COLLEGE,ADV TCHR COLL UYO,UNIVERSITY COLLEGE 
2000101136,HULT INTERNATIONAL BUSINESS SCHL,ARE,SIS,HULT INTERNATIONAL BUSINESS SCHOOL,HULT INTERNATIONAL BUSINESS SCHL,SCHOOL 
0000021645,ABUBAKAR TAFAWA BALEWA U TECH,NGA,SIS,ABUBAKAR TAFAWA BALEWA TECH UNIVERSITY,ABUBAKAR TAFAWA BALEWA U TECH,UNIVERSITY 
0000016213,INSTITUTE PROFESSIONAL EDARES,CHL,SIS,PROFESSIONAL EDARES INSTITUTE,INSTITUTE PROFESSIONAL EDARES,INSTITUTE 
2000102990,SULLIVAN UPPER SCHOOL,GBR,SIS,SULLIVAN UPPER UNIVERSITY SCHOOL,SULLIVAN UPPER SCHOOL,UNIVERSITY SCHOOL 
0000010295,NAVRONGO SECONDARY SCHOOL,GHA,SIS,NAVRONGO SECONDARY SCHOOL,NAVRONGO SECONDARY SCHOOL,SCHOOL 
0000018122,BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,HUN,SIS,BUDAPEST TECHNOLOGY ECONOMICS UNIVERSITY,BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,UNIVERSITY 
0000018127,UNIVERSITY GRADUATE MEDICAL STUDIES,HUN,SIS,GRADUATE MEDICAL STUDIES UNIVERSITY,UNIVERSITY GRADUATE MEDICAL STUDIES,UNIVERSITY 
0000010803,REEDS SCHOOL,GBR,SIS,REEDS SCHOOL,REEDS SCHOOL,SCHOOL 
0000010834,HOLLAND PARK SCHOOL,GBR,SIS,HOLLAND PARK SCHOOL,HOLLAND PARK SCHOOL,SCHOOL 
