0002239931,FEDERAL POLYTECHNIC,NGA,SIS,FEDERAL POLYTECHNIC ,FEDERAL POLYTECHNIC,
0001952372,GULF ENGLISH SCHOOL,KWT,SIS,GULF ENGLISH SCHOOL,GULF ENGLISH SCHOOL,SCHOOL 
0001952446,GRENNASKOLAN RIKSINTERNAT AB,SWE,SIS,GRENNASKOLAN RIKSINTERNAT AB ,GRENNASKOLAN RIKSINTERNAT AB,
0000024740,INST LANDSCAPE ARCHITECTS,GBR,SIS,LANDSCAPE ARCHITECTS INSTITUTE,INST LANDSCAPE ARCHITECTS,INSTITUTE 
0000024744,INST PSYCHIATRY,GBR,SIS,PSYCHIATRY INSTITUTE,INST PSYCHIATRY,INSTITUTE 
0000024762,NOTTINGHAM TRENT U,GBR,SIS,NOTTINGHAM TRENT UNIVERSITY,NOTTINGHAM TRENT U,UNIVERSITY 
0000024990,INST APPL PSYCH PSYKHOHEN SOC,UKR,SIS,APPL PSYCH PSYKHOHEN SOC INSTITUTE,INST APPL PSYCH PSYKHOHEN SOC,INSTITUTE 
0000025002,INTL U SCI TECH,UKR,SIS,INTL SCI TECH UNIVERSITY,INTL U SCI TECH,UNIVERSITY 
0002590712,EDGE HILL UNIVERSITY,GBR,SIS,EDGE HILL UNIVERSITY,EDGE HILL UNIVERSITY,UNIVERSITY 
0000021853,NTL COLL BALLET,NOR,SIS,NTL BALLET COLLEGE,NTL COLL BALLET,COLLEGE 
0000021865,THE NKI COLL ENGG,NOR,SIS,THE NKI ENGG COLLEGE,THE NKI COLL ENGG,COLLEGE 
0000021866,BODO COLL,NOR,SIS,BODO COLLEGE,BODO COLL,COLLEGE 
0000022465,U GALATI,ROU,SIS,GALATI UNIVERSITY,U GALATI,UNIVERSITY 
0002621111,UNIVERSITATEA CRESTINA DIMITRIE CANTEMIR BUCHAREST,ROU,SIS,UNIVERSITATEA CRESTINA DIMITRIE CANTEMIR BUCHAREST ,UNIVERSITATEA CRESTINA DIMITRIE CANTEMIR BUCHAREST,
0002621112,MISR UNIV FOR SCIT & TECH,EGY,SIS,MISR SCIT TECH UNIVERSITY,MISR UNIV FOR SCIT & TECH,UNIVERSITY 
0002779136,HANOI-AMSTERDAM HIGH SCHOOL FOR THE GIFTED,VNM,SIS,HANOIAMSTERDAM HIGH THE GIFTED SCHOOL,HANOI-AMSTERDAM HIGH SCHOOL FOR THE GIFTED,SCHOOL 
0000024715,CTY PORTSMOUTH COLL ED,GBR,SIS,CTY PORTSMOUTH ED COLLEGE,CTY PORTSMOUTH COLL ED,COLLEGE 
0001951872,INTERNATIONAL COMMUNITY SCHOOL ABUJA,NGA,SIS,INTERNATIONAL COMMUNITY ABUJA SCHOOL,INTERNATIONAL COMMUNITY SCHOOL ABUJA,SCHOOL 
0001952541,INTERNATIONAL COMMUNITY SCHOOL LONDON,GBR,SIS,INTERNATIONAL COMMUNITY LONDON SCHOOL,INTERNATIONAL COMMUNITY SCHOOL LONDON,SCHOOL 
0000025342,EC SUP FORM TECH CHERCHEURS,VNM,SIS,EC SUP FORM TECH CHERCHEURS ,EC SUP FORM TECH CHERCHEURS,
0000016855,UNIVERSITY SALVADORENA ISAAC NEWTON,SLV,SIS,SALVADORENA ISAAC NEWTON UNIVERSITY,UNIVERSITY SALVADORENA ISAAC NEWTON,UNIVERSITY 
0000022459,UNIV TRANSYLVANIA OF BRASOV,ROU,SIS,TRANSYLVANIA BRASOV UNIVERSITY,UNIV TRANSYLVANIA OF BRASOV,UNIVERSITY 
0000025249,COL U MARACAIBO,VEN,SIS,MARACAIBO UNIVERSITY COLLEGE,COL U MARACAIBO,UNIVERSITY COLLEGE 
0002283520,KIEV MEDICAL INSTITUTE (BOGOMOLETZ),UKR,SIS,KIEV MEDICAL (BOGOMOLETZ) INSTITUTE,KIEV MEDICAL INSTITUTE (BOGOMOLETZ),INSTITUTE 
0000025268,INST U TEC ISAAC NEWTON,VEN,SIS,TEC ISAAC NEWTON UNIVERSITY INSTITUTE,INST U TEC ISAAC NEWTON,UNIVERSITY INSTITUTE 
0000021913,STAVANGER COLL SOC WORK,NOR,SIS,STAVANGER SOC WORK COLLEGE,STAVANGER COLL SOC WORK,COLLEGE 
0000024943,APOSTLE MURAVIOV COLL SOC WORK,UKR,SIS,APOSTLE MURAVIOV SOC WORK COLLEGE,APOSTLE MURAVIOV COLL SOC WORK,COLLEGE 
0000024816,RYL MIL ACD SANDHURST,GBR,SIS,RYL MIL SANDHURST ACADEMY,RYL MIL ACD SANDHURST,ACADEMY 
0000024874,UL COURTAULD INST ART,GBR,SIS,UL COURTAULD ART INSTITUTE,UL COURTAULD INST ART,INSTITUTE 
